179 1734111667 0,567042 1,600000 0,463602 0,657958 0,519296
176 1734111667 0,000250 1,800000 0,000189 0,000367 0,000000
179 1734111668 0,567042 1,600000 0,463602 0,657958 0,519296
176 1734111668 0,000250 1,800000 0,000189 0,000367 0,000000
179 1734111669 0,567042 1,600000 0,463602 0,657958 0,519296
176 1734111669 0,000250 1,800000 0,000189 0,000367 0,000000
179 1734111670 0,567042 1,600000 0,463602 0,657958 0,519296
176 1734111670 0,000250 1,800000 0,000189 0,000367 0,000000
179 1734111671 0,567042 1,600000 0,463602 0,657958 0,519296
176 1734111671 0,000250 1,800000 0,000189 0,000367 0,000000
179 1734111672 0,598804 0,400000 0,521782 0,675825 0,145799
176 1734111672 0,000198 0,200000 0,000198 0,000198 0,000000
188 1734111672 0,602718 1,200000 0,497216 0,625407 0,438597
179 1734111673 0,598804 0,400000 0,521782 0,675825 0,145799
176 1734111673 0,000198 0,200000 0,000198 0,000198 0,000000
188 1734111673 0,602718 1,200000 0,497216 0,625407 0,438597
179 1734111674 0,598804 0,400000 0,521782 0,675825 0,145799
176 1734111674 0,000198 0,200000 0,000198 0,000198 0,000000
188 1734111674 0,602718 1,200000 0,497216 0,625407 0,438597
179 1734111675 0,598804 0,400000 0,521782 0,675825 0,145799
176 1734111675 0,000198 0,200000 0,000198 0,000198 0,000000
188 1734111675 0,602718 1,200000 0,497216 0,625407 0,438597
179 1734111676 0,598804 0,400000 0,521782 0,675825 0,145799
176 1734111676 0,000198 0,200000 0,000198 0,000198 0,000000
188 1734111676 0,602718 1,200000 0,497216 0,625407 0,438597
200 1734111677 0,558481 0,800000 0,463739 0,590164 0,251915
203 1734111677 0,605065 0,400000 0,605042 0,605088 0,146441
188 1734111677 0,539037 0,400000 0,466920 0,611153 0,118305
200 1734111678 0,558481 0,800000 0,463739 0,590164 0,251915
203 1734111678 0,605065 0,400000 0,605042 0,605088 0,146441
188 1734111678 0,539037 0,400000 0,466920 0,611153 0,118305
